seconds,updates,mean reward
35,10,0.088384
54,20,0.05470707
73,30,0.046304002
92,40,0.036336
111,50,0.028655998
130,60,0.049000002
149,70,0.038864
168,80,0.046976
187,90,0.046919998
206,100,0.028416
225,110,0.03848
244,120,0.09368
263,130,0.131624
281,140,0.09464001
300,150,0.065528005
319,160,0.067711994
338,170,0.048616
357,180,0.039136
376,190,0.058704
394,200,0.058664
413,210,0.058520004
432,220,0.058591995
451,230,0.068208
469,240,0.105592005
488,250,0.057175998
507,260,0.057272002
526,270,0.084975995
544,280,0.094271995
563,290,0.057256
582,300,0.009448
601,310,0.038344003
619,320,0.10332801
638,330,0.171184
657,340,0.123392
676,350,0.120888
694,360,0.093952
713,370,0.065864
732,380,0.09442399
751,390,0.047824003
770,400,0.028903998
789,410,0.063936
807,420,0.082807995
826,430,0.084448
845,440,0.055896
864,450,0.0188
883,460,0.048367996
901,470,0.104568005
920,480,0.092408
939,490,0.101320006
958,500,0.104704
976,510,0.047528
995,520,0.036224
1014,530,0.100192
1033,540,0.10162399
1052,550,0.03884
1070,560,0.047895998
1089,570,0.056288004
1108,580,0.086728
1127,590,0.097463995
1145,600,0.075872004
1164,610,0.074168
1183,620,0.074608
1202,630,0.047592
1220,640,0.065912
1239,650,0.06652799
1258,660,0.055472
1277,670,0.045656003
1295,680,0.055943996
1314,690,0.047904
1333,700,0.039144002
1352,710,0.08657601
1370,720,0.123608
1389,730,0.074847996
1408,740,0.04716
1427,750,0.047199998
1445,760,0.129544
1464,770,0.147416
1483,780,0.19744
1502,790,0.534424
1521,800,0.90376794
1540,810,0.9371521
1559,820,0.9471199
1578,830,0.93862414
1597,840,0.939944
1616,850,0.927976
1635,860,0.946016
1654,870,0.93555206
1673,880,0.930536
1692,890,0.9086081
1711,900,0.9202
1730,910,0.9282
1749,920,0.94628
1768,930,0.93489593
1787,940,0.9286399
1806,950,0.9430559
1825,960,0.946904
1844,970,0.93512803
1863,980,0.93456
1882,990,0.93439204
1901,1000,0.93049604
1920,1010,0.917512
1939,1020,0.94671994
1958,1030,0.93744797
1977,1040,0.945288
1997,1050,0.93326396
2016,1060,0.941416
2035,1070,0.92271996
2054,1080,0.94081587
2073,1090,0.92108
2092,1100,0.93280005
2111,1110,0.9422002
2130,1120,0.93980795
2149,1130,0.9321439
2168,1140,0.937528
2187,1150,0.945864
2206,1160,0.9359359
2225,1170,0.93783194
2244,1180,0.9477761
2263,1190,0.9529841
2282,1200,0.94495994
2301,1210,0.94600004
2320,1220,0.94057596
2339,1230,0.947136
2358,1240,0.940488
2378,1250,0.94356805
2397,1260,0.9271279
2416,1270,0.94031197
2435,1280,0.94436806
2454,1290,0.939672
2473,1300,0.946528
2492,1310,0.94048005
2511,1320,0.94921595
2530,1330,0.9499119
2549,1340,0.945912
2568,1350,0.9483041
2587,1360,0.94401604
2606,1370,0.948312
2625,1380,0.940672
2644,1390,0.93876004
2663,1400,0.950672
2682,1410,0.9434801
2701,1420,0.94748795
2720,1430,0.94600004
2739,1440,0.9423601
2758,1450,0.940224
2777,1460,0.94293594
2796,1470,0.94542396
2814,1480,0.94527197
2833,1490,0.9434481
2852,1500,0.93585604
2871,1510,0.94335204
2890,1520,0.9415679
2909,1530,0.947128
2928,1540,0.942952
2947,1550,0.944272
2966,1560,0.946792
2985,1570,0.945048
3004,1580,0.950416
3023,1590,0.94055206
3042,1600,0.940664
3061,1610,0.94172806
3080,1620,0.9442721
3099,1630,0.947856
3118,1640,0.9422319
3137,1650,0.93717605
3156,1660,0.9470721
3174,1670,0.9396321
3193,1680,0.9508961
3212,1690,0.9419601
3231,1700,0.94086397
3250,1710,0.94130397
3269,1720,0.94608
3288,1730,0.94508004
3307,1740,0.936248
3325,1750,0.9415201
3344,1760,0.9452081
3362,1770,0.944728
3381,1780,0.94171196
3400,1790,0.9420081
3419,1800,0.94888
3437,1810,0.942688
3456,1820,0.944376
3475,1830,0.94348794
3493,1840,0.9479439
3512,1850,0.9456719
3531,1860,0.9440561
3549,1870,0.946936
3568,1880,0.94660795
3587,1890,0.942752
3605,1900,0.943152
3624,1910,0.94291204
3643,1920,0.946344
3661,1930,0.94036
3680,1940,0.940736
3698,1950,0.944608
3717,1960,0.94470406
3736,1970,0.941776
3754,1980,0.93604803
3773,1990,0.945936
3792,2000,0.92131203
3810,2010,0.93122405
3829,2020,0.94871986
3848,2030,0.94316
3867,2040,0.934992
3885,2050,0.94499207
3904,2060,0.9452721
3923,2070,0.941056
3941,2080,0.9426
3960,2090,0.94727194
3979,2100,0.939216
3997,2110,0.94059205
4016,2120,0.948088
4035,2130,0.95161605
4053,2140,0.94159997
4072,2150,0.9428959
4091,2160,0.9466799
4109,2170,0.9464
4128,2180,0.94135207
4147,2190,0.94435996
4166,2200,0.951232
4184,2210,0.94696
4203,2220,0.94371206
4222,2230,0.937872
4240,2240,0.9390321
4259,2250,0.941408
4278,2260,0.946776
4296,2270,0.94399995
4315,2280,0.94251996
4334,2290,0.94088006
4352,2300,0.9457839
4371,2310,0.947752
4390,2320,0.9461439
4408,2330,0.940688
4427,2340,0.94500804
4446,2350,0.940064
4464,2360,0.94500804
4483,2370,0.9426641
4502,2380,0.942752
4520,2390,0.93783194
4539,2400,0.9470721
4557,2410,0.9381041
4576,2420,0.94532007
4595,2430,0.94872004
4613,2440,0.94203204
4632,2450,0.939912
4651,2460,0.943952
4670,2470,0.9378401
4688,2480,0.9476
4707,2490,0.9468
4726,2500,0.946264
4744,2510,0.94238394
4763,2520,0.94682413
4782,2530,0.94524
4800,2540,0.93939203
4819,2550,0.935976
4838,2560,0.94096804
4857,2570,0.9462161
4875,2580,0.92620015
4894,2590,0.93340003
4912,2600,0.89096
4931,2610,0.926232
4950,2620,0.93171203
4969,2630,0.942352
4987,2640,0.942872
5006,2650,0.94076806
5025,2660,0.9326641
5043,2670,0.9454959
5062,2680,0.94531196
5081,2690,0.95056796
5099,2700,0.94348
5118,2710,0.9442161
5137,2720,0.92873603
5155,2730,0.9374561
5174,2740,0.9397841
5193,2750,0.94236
5212,2760,0.94696
5230,2770,0.93627214
5249,2780,0.93879205
5268,2790,0.94308805
5286,2800,0.94610405
