lr,max-grad-norm,recurrent-policy,seed
2.973460460782975e-05,0.5,False,427

seconds,frames,mean reward
28,14080,0.020375509
38,26880,0.037373737
49,39680,0.027016
59,52480,0.066176
69,65280,0.07612
79,78080,0.036824
90,90880,0.027064
100,103680,0.018736
110,116480,0.0294
121,129280,0.055992004
131,142080,0.046903998
142,154880,0.075864
152,167680,0.074512005
162,180480,0.046464
173,193280,0.11548801
183,206080,0.125088
193,218880,0.07434401
204,231680,0.045880005
214,244480,0.038888
225,257280,0.048648
235,270080,0.067496
246,282880,0.13421601
256,295680,0.139464
267,308480,0.16641599
277,321280,0.1616
287,334080,0.131
298,346880,0.13839202
308,359680,0.22416002
318,372480,0.23090401
329,385280,0.19318399
339,398080,0.28448796
350,410880,0.367888
360,423680,0.36388
371,436480,0.407768
381,449280,0.49830398
392,462080,0.52299196
402,474880,0.479208
413,487680,0.519296
423,500480,0.510416
434,513280,0.534392
444,526080,0.49132
455,538880,0.491448
465,551680,0.468008
476,564480,0.526072
486,577280,0.46869603
497,590080,0.49858403
508,602880,0.49589598
518,615680,0.51088
528,628480,0.486624
539,641280,0.43351197
550,654080,0.542944
561,666880,0.4682
572,679680,0.519624
582,692480,0.556672
593,705280,0.53672004
604,718080,0.50592
614,730880,0.58028805
625,743680,0.49744797
636,756480,0.483104
647,769280,0.419208
657,782080,0.51548797
667,794880,0.48756
678,807680,0.48565602
689,820480,0.46231198
699,833280,0.333704
709,846080,0.33217603
720,858880,0.485328
731,871680,0.481632
741,884480,0.366416
752,897280,0.52864
763,910080,0.53624
773,922880,0.503896
784,935680,0.46462402
794,948480,0.529776
805,961280,0.460024
816,974080,0.51198405
827,986880,0.53784
837,999680,0.530312
848,1012480,0.45148
859,1025280,0.42528793
869,1038080,0.469064
880,1050880,0.53679204
890,1063680,0.45505595
901,1076480,0.56493604
912,1089280,0.558216
922,1102080,0.452184
933,1114880,0.390224
943,1127680,0.425824
954,1140480,0.56560796
964,1153280,0.516664
975,1166080,0.443352
986,1178880,0.501512
996,1191680,0.48436
1007,1204480,0.595808
1017,1217280,0.546136
