seconds,updates,mean reward
35,10,0.052946936
53,20,0.052644894
71,30,0.056296006
90,40,0.08796
108,50,0.075672
126,60,0.055320002
145,70,0.018480001
163,80,0.0
182,90,0.0
200,100,0.0
219,110,0.009984
237,120,0.009984
256,130,0.037592
274,140,0.047304
292,150,0.0668
311,160,0.085584
329,170,0.06612
347,180,0.08192799
366,190,0.08284
384,200,0.12146399
402,210,0.12896
420,220,0.084768
439,230,0.14292
457,240,0.105016
475,250,0.055728003
494,260,0.037272
512,270,0.12887199
530,280,0.14945601
548,290,0.13427201
567,300,0.107024
585,310,0.077616
603,320,0.038336
622,330,0.11172001
640,340,0.11833599
659,350,0.08208
677,360,0.074736
695,370,0.13538401
713,380,0.174392
732,390,0.130576
750,400,0.102656
768,410,0.098696
787,420,0.118416004
805,430,0.120888
823,440,0.16008
842,450,0.113832004
860,460,0.09424801
878,470,0.10390401
896,480,0.132336
915,490,0.122696
933,500,0.123592
951,510,0.10568
970,520,0.112448
988,530,0.142472
1006,540,0.144632
1024,550,0.19381599
1043,560,0.20084
1061,570,0.220416
1079,580,0.27940002
1097,590,0.16481599
1116,600,0.12504
1134,610,0.134568
1152,620,0.161288
1170,630,0.17156
1188,640,0.151448
1207,650,0.162304
1225,660,0.21195999
1243,670,0.133288
1262,680,0.084184
1280,690,0.095432
1298,700,0.058104
1317,710,0.046719998
1335,720,0.06548
1353,730,0.075959995
1371,740,0.10157599
1389,750,0.080415994
1407,760,0.053951997
1426,770,0.036712
1444,780,0.03648
1462,790,0.072024
1480,800,0.129256
1498,810,0.146368
1517,820,0.1272
1535,830,0.101024
1553,840,0.064584
1571,850,0.08328
1590,860,0.101784
1608,870,0.071424
1626,880,0.074248
1644,890,0.092911996
1663,900,0.083024
1681,910,0.083232
1699,920,0.14643998
1718,930,0.17104
1736,940,0.151392
1754,950,0.13667199
1772,960,0.149832
1790,970,0.14738399
1809,980,0.18787201
1827,990,0.211136
1845,1000,0.212592
1863,1010,0.190032
1882,1020,0.18301597
1900,1030,0.239
1918,1040,0.260872
1936,1050,0.27840796
1954,1060,0.240272
1973,1070,0.17652799
1991,1080,0.17119999
2009,1090,0.23791198
2027,1100,0.156288
2045,1110,0.193216
2063,1120,0.26152
2082,1130,0.24919201
2100,1140,0.23866402
2118,1150,0.274552
2136,1160,0.31288
2155,1170,0.323696
2173,1180,0.25030398
2191,1190,0.263888
2209,1200,0.267272
2227,1210,0.34596002
2245,1220,0.32667202
2264,1230,0.307888
2282,1240,0.274912
2300,1250,0.28260002
2318,1260,0.22927201
2336,1270,0.37745598
