lr,max-grad-norm,num-steps,recurrent-policy,seed
4.7064892522995915e-06,0.5,5,True,342

seconds,frames,mean reward
33,1680,0.15636574
39,2480,0.23697917
46,3280,0.1393995
52,4080,0.15202701
59,4880,0.11029411
66,5680,0.10613207
73,6480,0.13297619
79,7280,0.13110329
86,8080,0.11819924
93,8880,0.12416667
99,9680,0.093458325
106,10480,0.10302083
113,11280,0.08364584
119,12080,0.092125006
127,12880,0.111729175
133,13680,0.11172917
140,14480,0.11245833
147,15280,0.102479175
153,16080,0.13243748
160,16880,0.17814583
167,17680,0.16856249
174,18480,0.16883333
180,19280,0.17810418
187,20080,0.168375
194,20880,0.16087502
201,21680,0.16133334
208,22480,0.16316666
214,23280,0.20160417
221,24080,0.19025
228,24880,0.18222916
235,25680,0.20245834
242,26480,0.192625
249,27280,0.19333334
256,28080,0.20331249
263,28880,0.21045835
269,29680,0.22800002
276,30480,0.22799999
283,31280,0.18987499
290,32080,0.19858332
296,32880,0.18114585
303,33680,0.19135419
310,34480,0.18133333
316,35280,0.19956248
323,36080,0.18958332
330,36880,0.18158333
337,37680,0.15470833
344,38480,0.20027083
350,39280,0.20920831
357,40080,0.20858334
364,40880,0.21681249
371,41680,0.19716665
378,42480,0.1871875
385,43280,0.1765
391,44080,0.16654167
398,44880,0.17652084
405,45680,0.17597918
412,46480,0.1665
419,47280,0.12068749
426,48080,0.12093749
432,48880,0.10266666
439,49680,0.09466666
446,50480,0.10483333
453,51280,0.12541667
460,52080,0.13525
467,52880,0.1541875
473,53680,0.1541875
480,54480,0.15414582
487,55280,0.15414584
494,56080,0.1445
501,56880,0.1445
508,57680,0.15447918
514,58480,0.13566667
521,59280,0.1353125
527,60080,0.09722917
534,60880,0.10697917
541,61680,0.08716666
547,62480,0.08733334
555,63280,0.095604174
562,64080,0.1128125
569,64880,0.10329166
575,65680,0.14022917
582,66480,0.14022917
589,67280,0.1396875
596,68080,0.12008333
602,68880,0.12008333
609,69680,0.110375
616,70480,0.110062495
623,71280,0.11939583
630,72080,0.16010416
637,72880,0.16122918
644,73680,0.16204166
651,74480,0.14316668
657,75280,0.1529375
664,76080,0.1435
671,76880,0.16297917
678,77680,0.15310417
685,78480,0.192
692,79280,0.18297917
699,80080,0.17210416
706,80880,0.14220834
712,81680,0.13239583
719,82480,0.1429375
726,83280,0.17210416
733,84080,0.19199999
739,84880,0.19947916
746,85680,0.1895
753,86480,0.17083332
759,87280,0.1418125
766,88080,0.1415
773,88880,0.1531875
780,89680,0.15385416
787,90480,0.15197916
794,91280,0.1321875
801,92080,0.10110416
807,92880,0.11054167
814,93680,0.1031875
820,94480,0.1115
827,95280,0.12147917
834,96080,0.13125
841,96880,0.14920834
847,97680,0.12933333
854,98480,0.13941666
860,99280,0.1216875
868,100080,0.15289584
874,100880,0.15191667
881,101680,0.13966665
888,102480,0.15720832
895,103280,0.15731248
902,104080,0.1573125
908,104880,0.16643749
915,105680,0.15862499
922,106480,0.15839583
929,107280,0.15835416
936,108080,0.14785416
942,108880,0.13689584
949,109680,0.14639583
956,110480,0.13922918
963,111280,0.14045833
970,112080,0.14064582
977,112880,0.14947917
983,113680,0.13789584
990,114480,0.13775
997,115280,0.128
1004,116080,0.14329167
1010,116880,0.14222917
1017,117680,0.15129167
1024,118480,0.15254167
1031,119280,0.160375
1038,120080,0.1705
1044,120880,0.18764585
1051,121680,0.1801875
1058,122480,0.18258333
1065,123280,0.1925625
1072,124080,0.19304167
1078,124880,0.18693751
1085,125680,0.19685417
1092,126480,0.19585417
1099,127280,0.18641667
1105,128080,0.17802082
1112,128880,0.1774375
1119,129680,0.14943749
1126,130480,0.17664583
1132,131280,0.15675
1139,132080,0.14677083
1146,132880,0.12979166
1153,133680,0.12972917
1160,134480,0.1381875
1167,135280,0.13970833
1173,136080,0.13016666
1180,136880,0.12918751
1187,137680,0.13875
1194,138480,0.1209375
1201,139280,0.13047916
1208,140080,0.13108332
1214,140880,0.14025001
1221,141680,0.14025
1228,142480,0.13179167
1235,143280,0.13070834
1242,144080,0.12247917
1249,144880,0.12247917
1256,145680,0.11468749
1263,146480,0.10489583
1270,147280,0.09602083
