lr,max-grad-norm,recurrent-policy,seed
3.3733654968974555e-06,0.5,False,295

seconds,frames,mean reward
34,14080,0.020179592
45,26880,0.03705306
56,39680,0.044936005
67,52480,0.038328
78,65280,0.029240001
89,78080,0.035520002
102,90880,0.026096001
113,103680,0.04532
123,116480,0.064376004
134,129280,0.027407998
144,142080,0.034784
155,154880,0.03576
167,167680,0.036944
178,180480,0.045544
188,193280,0.045328002
199,206080,0.054536
210,218880,0.055128
221,231680,0.056408
232,244480,0.0674
243,257280,0.047384
253,270080,0.035552002
264,282880,0.054832
274,295680,0.074144
286,308480,0.074552
296,321280,0.0848
307,334080,0.103216
318,346880,0.05392
328,359680,0.045744
339,372480,0.08153601
350,385280,0.07324
360,398080,0.027424
371,410880,0.060576
381,423680,0.08079201
392,436480,0.038656
404,449280,0.056176
414,462080,0.074136
425,474880,0.05528
436,487680,0.0454
447,500480,0.036672
458,513280,0.071952
469,526080,0.089776
480,538880,0.065224
491,551680,0.10944
502,564480,0.135264
512,577280,0.181512
523,590080,0.17173599
534,602880,0.133744
545,615680,0.1534
556,628480,0.16038398
569,641280,0.115136
580,654080,0.10724
591,666880,0.140176
601,679680,0.1746
612,692480,0.18108799
623,705280,0.19184
634,718080,0.181456
645,730880,0.237048
656,743680,0.236456
666,756480,0.23076002
678,769280,0.299456
689,782080,0.307408
700,794880,0.26979998
711,807680,0.280816
722,820480,0.27211997
733,833280,0.23079199
744,846080,0.23500001
755,858880,0.241936
766,871680,0.24484
777,884480,0.222992
788,897280,0.228368
798,910080,0.279728
809,922880,0.24469599
820,935680,0.299768
832,948480,0.23802398
843,961280,0.22952
854,974080,0.259016
864,986880,0.256104
876,999680,0.33210397
886,1012480,0.350304
898,1025280,0.260856
910,1038080,0.307752
921,1050880,0.252232
932,1063680,0.296952
942,1076480,0.33846405
953,1089280,0.33583203
964,1102080,0.34311202
974,1114880,0.44158402
985,1127680,0.35841602
996,1140480,0.337392
1008,1153280,0.33544797
1019,1166080,0.423616
1030,1178880,0.45257598
1042,1191680,0.40126404
1053,1204480,0.46151203
1063,1217280,0.49360806
1075,1230080,0.62102395
1086,1242880,0.471664
1096,1255680,0.39615196
1107,1268480,0.36380804
1118,1281280,0.43507203
1128,1294080,0.40242398
1140,1306880,0.35256
1150,1319680,0.43063998
1161,1332480,0.383528
1172,1345280,0.42584
1183,1358080,0.44759202
1194,1370880,0.41294402
1204,1383680,0.394992
1215,1396480,0.45268804
1226,1409280,0.4446
1237,1422080,0.408024
1248,1434880,0.403832
1259,1447680,0.353264
1270,1460480,0.37887195
1280,1473280,0.41253597
1291,1486080,0.45031202
1302,1498880,0.40326405
1315,1511680,0.403256
1325,1524480,0.425328
