seconds,updates,mean reward
35,10,0.018066667
54,20,0.008940206
72,30,0.0
91,40,0.0
110,50,0.0
128,60,0.019368
147,70,0.019368
165,80,0.019368
184,90,0.0086159995
202,100,0.025688
221,110,0.02552
240,120,0.008448
258,130,0.0
277,140,0.0
295,150,0.0
314,160,0.0
333,170,0.0
351,180,0.009711999
370,190,0.019208
388,200,0.009496
407,210,0.0
426,220,0.0
444,230,0.0
463,240,0.0
481,250,0.0
500,260,0.0
519,270,0.0
537,280,0.0
556,290,0.0
574,300,0.009984
593,310,0.019952
612,320,0.009968
630,330,0.018856
649,340,0.045936
667,350,0.04428
686,360,0.045207996
704,370,0.068256
723,380,0.057488002
741,390,0.037279997
759,400,0.047904
778,410,0.056071997
796,420,0.066256
815,430,0.087392
833,440,0.057152
852,450,0.027952
870,460,0.038007997
889,470,0.046040002
907,480,0.027352
926,490,0.018872
944,500,0.018944
963,510,0.049040005
981,520,0.039064
1000,530,0.0
1019,540,0.0
1037,550,0.0
1056,560,0.0
1074,570,0.009944
1093,580,0.0198
1111,590,0.037856
1130,600,0.122576
1148,610,0.150592
1166,620,0.08428001
1184,630,0.148824
1203,640,0.12762399
1221,650,0.065072
1239,660,0.055144
1258,670,0.063088
1276,680,0.076624006
1294,690,0.09448
1313,700,0.04704
1332,710,0.009968
1350,720,0.009224
1369,730,0.047624003
1387,740,0.06476
1405,750,0.064463995
1424,760,0.08016
1442,770,0.089967996
1460,780,0.067472
1479,790,0.028728
1497,800,0.0
1516,810,0.062304
1534,820,0.072352
1552,830,0.039168
1571,840,0.057743996
1589,850,0.03744
1608,860,0.018528
1626,870,0.038216
1645,880,0.056999996
1663,890,0.066616
1681,900,0.11172801
1699,910,0.073904
1718,920,0.028056001
1736,930,0.036815997
1755,940,0.072784
1773,950,0.06451199
1791,960,0.046896
1810,970,0.061424
1828,980,0.051496
1847,990,0.017584
1865,1000,0.0
1884,1010,0.0
1902,1020,0.0
1921,1030,0.0
1939,1040,0.00972
1958,1050,0.00972
1976,1060,0.0082
1995,1070,0.0082
2013,1080,0.009776
2032,1090,0.019407999
2050,1100,0.046352
2068,1110,0.07368
2087,1120,0.063536
2105,1130,0.034783997
2123,1140,0.016776001
2141,1150,0.036431998
2160,1160,0.06432
2178,1170,0.091143996
2196,1180,0.098543994
2215,1190,0.073288
2233,1200,0.047816
2251,1210,0.027976
2270,1220,0.008168
2288,1230,0.008168
2307,1240,0.0
2325,1250,0.0
2344,1260,0.0
2363,1270,0.0
2381,1280,0.0
2400,1290,0.0
2418,1300,0.009215999
2436,1310,0.05664
2455,1320,0.055728003
2473,1330,0.008304
2491,1340,0.0
2510,1350,0.0
2528,1360,0.008152
2547,1370,0.064016
2565,1380,0.073104
2583,1390,0.063224
2602,1400,0.097296
2620,1410,0.080688
2638,1420,0.028839998
2656,1430,0.036808
2675,1440,0.095344
2693,1450,0.093864
2711,1460,0.12072001
2729,1470,0.09336001
