lr,max-grad-norm,num-steps,recurrent-policy,seed
0.00018438985086568702,0.5,40,True,378

seconds,frames,mean reward
41,7040,0.17699887
63,13440,0.1021875
84,19840,0.1226875
106,26240,0.19487502
127,32640,0.36058334
149,39040,0.33779168
171,45440,0.39835417
193,51840,0.52783334
214,58240,0.52141666
236,64640,0.548
258,71040,0.5349583
279,77440,0.5951458
301,83840,0.61643744
323,90240,0.6845
344,96640,0.58725
366,103040,0.57047915
388,109440,0.4782708
410,115840,0.6035
432,122240,0.49116668
454,128640,0.51391673
477,135040,0.44102085
499,141440,0.46827084
522,147840,0.54681253
544,154240,0.57320833
566,160640,0.464625
588,167040,0.5391667
610,173440,0.49687496
633,179840,0.48350003
655,186240,0.6345833
677,192640,0.56120837
700,199040,0.6072083
723,205440,0.5858125
745,211840,0.51664585
768,218240,0.57814586
790,224640,0.5047708
812,231040,0.5126667
835,237440,0.6190208
857,243840,0.55749995
880,250240,0.5862083
902,256640,0.6328333
925,263040,0.566625
948,269440,0.634625
970,275840,0.535875
993,282240,0.62083334
1015,288640,0.6054792
1038,295040,0.6488958
1060,301440,0.6125
1083,307840,0.6591042
1106,314240,0.56083333
1128,320640,0.6457291
1151,327040,0.6564167
1173,333440,0.49354163
1196,339840,0.59093755
1218,346240,0.5327083
1240,352640,0.554125
1263,359040,0.48497918
1285,365440,0.588875
1308,371840,0.59595835
1331,378240,0.5932291
1353,384640,0.6338959
1376,391040,0.5291042
1398,397440,0.5591042
1421,403840,0.430375
1443,410240,0.63874996
1466,416640,0.52870834
1488,423040,0.622375
1511,429440,0.5271042
1534,435840,0.68810415
1557,442240,0.6194167
1579,448640,0.70495826
1602,455040,0.6480833
1624,461440,0.5536042
1647,467840,0.552
1669,474240,0.38614583
1691,480640,0.5484375
1714,487040,0.5766876
1737,493440,0.5200833
1759,499840,0.6131459
1782,506240,0.63197917
1805,512640,0.62470835
1827,519040,0.49347916
1850,525440,0.52622914
1872,531840,0.505125
1895,538240,0.48720834
1917,544640,0.6149167
1940,551040,0.556125
1962,557440,0.5245625
1985,563840,0.49208337
2007,570240,0.48135415
2029,576640,0.32554168
2051,583040,0.24897917
2074,589440,0.45841667
2096,595840,0.59108335
2118,602240,0.537875
2141,608640,0.5922083
2163,615040,0.5547708
2185,621440,0.57825
2208,627840,0.6396458
2231,634240,0.6487708
2253,640640,0.56135416
2276,647040,0.5264791
2298,653440,0.6303333
2321,659840,0.54808336
2343,666240,0.6131458
2366,672640,0.5915625
2388,679040,0.61997914
2411,685440,0.6483749
2433,691840,0.6769791
2456,698240,0.6359583
2478,704640,0.62795836
2500,711040,0.60729164
2522,717440,0.55708337
2545,723840,0.44108334
2567,730240,0.6345833
2590,736640,0.58974993
2612,743040,0.6877292
2634,749440,0.6815001
2657,755840,0.6976665
2679,762240,0.5798333
2701,768640,0.47247916
2723,775040,0.44049996
2745,781440,0.33547917
2767,787840,0.525
2789,794240,0.438125
2812,800640,0.62654173
2834,807040,0.52327085
2857,813440,0.6540625
2879,819840,0.44591662
2901,826240,0.6066458
2923,832640,0.5932084
2946,839040,0.5542708
2968,845440,0.40766665
2990,851840,0.49300003
3012,858240,0.6655208
3035,864640,0.6066042
3057,871040,0.43666667
3078,877440,0.253875
3101,883840,0.30375
3123,890240,0.4880625
3145,896640,0.61339587
3167,903040,0.5121458
3189,909440,0.37800002
3211,915840,0.42925
3233,922240,0.244375
3255,928640,0.3803958
3277,935040,0.36110416
3299,941440,0.305875
3321,947840,0.16922916
3343,954240,0.110125
3364,960640,0.19072916
3386,967040,0.22887501
