lr,max-grad-norm,recurrent-policy,seed
6.246865903096822e-05,0.5,False,305

seconds,frames,mean reward
28,14080,0.0756923
38,26880,0.039096
48,39680,0.052056
58,52480,0.087936
68,65280,0.19358401
77,78080,0.388104
87,90880,0.43056798
97,103680,0.45468
107,116480,0.40924
117,129280,0.331704
127,142080,0.29111204
136,154880,0.226536
147,167680,0.18120001
157,180480,0.19088
166,193280,0.25766402
177,206080,0.272488
187,218880,0.29068798
197,231680,0.319784
207,244480,0.266992
217,257280,0.23052801
227,270080,0.287528
237,282880,0.298776
246,295680,0.287008
256,308480,0.23256001
266,321280,0.24034399
276,334080,0.289464
286,346880,0.44218403
296,359680,0.430832
306,372480,0.31473598
316,385280,0.17771201
325,398080,0.153728
335,410880,0.273088
345,423680,0.32053602
355,436480,0.4002
364,449280,0.35911998
374,462080,0.44083995
384,474880,0.435448
394,487680,0.564688
403,500480,0.505576
414,513280,0.47504804
423,526080,0.393144
433,538880,0.44285598
443,551680,0.512976
453,564480,0.465936
463,577280,0.47170398
473,590080,0.60683995
483,602880,0.47599202
492,615680,0.500984
502,628480,0.59864795
512,641280,0.68896
523,654080,0.6971921
533,666880,0.665856
543,679680,0.70392007
553,692480,0.6422961
562,705280,0.620688
573,718080,0.705664
583,730880,0.786296
593,743680,0.742112
603,756480,0.705288
613,769280,0.77063996
623,782080,0.831776
633,794880,0.82221603
643,807680,0.90808797
653,820480,0.8320721
663,833280,0.85780007
673,846080,0.91102403
684,858880,0.91318405
694,871680,0.8841841
704,884480,0.9206799
714,897280,0.91040003
724,910080,0.89708
734,922880,0.946904
744,935680,0.93874407
754,948480,0.91177595
765,961280,0.940304
775,974080,0.93358403
785,986880,0.9374161
795,999680,0.930624
805,1012480,0.93131196
815,1025280,0.93761605
825,1038080,0.91269606
835,1050880,0.940072
846,1063680,0.9436
857,1076480,0.924936
867,1089280,0.94404006
878,1102080,0.93248004
888,1114880,0.92906404
898,1127680,0.92832
909,1140480,0.93187195
919,1153280,0.940512
929,1166080,0.9429519
940,1178880,0.93742394
950,1191680,0.93595994
960,1204480,0.920488
970,1217280,0.94339204
981,1230080,0.949144
992,1242880,0.93297595
1002,1255680,0.935008
1013,1268480,0.9324479
1023,1281280,0.93305594
1033,1294080,0.94014406
1044,1306880,0.944544
1054,1319680,0.93585604
1065,1332480,0.921784
1075,1345280,0.9305279
1085,1358080,0.937408
1096,1370880,0.941296
1106,1383680,0.936096
1116,1396480,0.93636805
1127,1409280,0.93971217
1137,1422080,0.941136
1148,1434880,0.93496805
1158,1447680,0.933488
1169,1460480,0.937496
1182,1473280,0.93610406
1193,1486080,0.94332004
1204,1498880,0.9445841
1215,1511680,0.942984
1226,1524480,0.943144
1236,1537280,0.935296
1248,1550080,0.92660797
1259,1562880,0.94750404
1269,1575680,0.93924797
1279,1588480,0.93177605
1290,1601280,0.94855195
1300,1614080,0.94662416
1311,1626880,0.93204004
1321,1639680,0.9243281
1332,1652480,0.937928
1342,1665280,0.93439204
1353,1678080,0.938312
1363,1690880,0.9361281
1373,1703680,0.943912
1384,1716480,0.9030401
1394,1729280,0.931128
1405,1742080,0.927624
1415,1754880,0.92559206
1426,1767680,0.943464
1436,1780480,0.920008
1447,1793280,0.9422081
1457,1806080,0.9436
1468,1818880,0.94523203
1478,1831680,0.9365681
1488,1844480,0.91924006
1499,1857280,0.934232
1509,1870080,0.942224
1519,1882880,0.9350641
1530,1895680,0.93425614
1540,1908480,0.94644
1551,1921280,0.9311919
1561,1934080,0.9398639
1571,1946880,0.92289615
1582,1959680,0.9405199
1592,1972480,0.9458319
1602,1985280,0.9267121
1613,1998080,0.95030403
1623,2010880,0.93260795
1633,2023680,0.92716795
1644,2036480,0.941376
1654,2049280,0.94295996
1664,2062080,0.919856
1675,2074880,0.9361201
1685,2087680,0.941008
1696,2100480,0.932288
1706,2113280,0.93261606
1716,2126080,0.9430959
1727,2138880,0.94527197
1737,2151680,0.934272
1747,2164480,0.9440561
1758,2177280,0.934096
1768,2190080,0.94346404
1779,2202880,0.92248
1789,2215680,0.94124
1799,2228480,0.94374406
1810,2241280,0.93568796
1820,2254080,0.950952
1831,2266880,0.93844
1841,2279680,0.944112
1851,2292480,0.9256561
1862,2305280,0.942552
1872,2318080,0.940768
1883,2330880,0.9372561
1893,2343680,0.947456
1904,2356480,0.932824
1914,2369280,0.91149604
1924,2382080,0.94874406
1935,2394880,0.93937606
1946,2407680,0.93004
1956,2420480,0.94792
1967,2433280,0.9337679
1977,2446080,0.94028
1987,2458880,0.93766403
1998,2471680,0.938624
2008,2484480,0.930376
2019,2497280,0.93248004
2029,2510080,0.9326961
2039,2522880,0.93167996
2050,2535680,0.94150424
2060,2548480,0.915224
2070,2561280,0.9443201
2081,2574080,0.93197614
2091,2586880,0.94733596
2102,2599680,0.92661595
2112,2612480,0.94776803
2122,2625280,0.936064
2133,2638080,0.9451679
2143,2650880,0.94132805
2153,2663680,0.94890404
2164,2676480,0.932432
2174,2689280,0.94333595
2184,2702080,0.9248001
2195,2714880,0.935048
2205,2727680,0.93586403
2216,2740480,0.94506407
2226,2753280,0.93411994
2236,2766080,0.93622404
2247,2778880,0.93030405
2257,2791680,0.939952
2267,2804480,0.95196795
2278,2817280,0.941072
2288,2830080,0.943448
2298,2842880,0.949568
2309,2855680,0.946616
2320,2868480,0.928024
2330,2881280,0.9329679
2340,2894080,0.94077605
2351,2906880,0.945288
2361,2919680,0.92659193
2371,2932480,0.93121606
2382,2945280,0.9366081
2392,2958080,0.937976
2403,2970880,0.93451995
2413,2983680,0.935632
2424,2996480,0.91448003
2434,3009280,0.93047994
2444,3022080,0.93108004
2455,3034880,0.920168
2465,3047680,0.94456804
2475,3060480,0.9397199
2486,3073280,0.92581606
2496,3086080,0.92840797
2506,3098880,0.94048
2517,3111680,0.946736
2527,3124480,0.930264
2538,3137280,0.94144
2548,3150080,0.945456
2559,3162880,0.932672
2569,3175680,0.945104
2579,3188480,0.9271519
2590,3201280,0.939584
2600,3214080,0.94283205
2611,3226880,0.9329841
2621,3239680,0.941216
2632,3252480,0.9445841
2642,3265280,0.9311919
2653,3278080,0.92716795
2663,3290880,0.92999995
2673,3303680,0.9470319
2684,3316480,0.94721603
2694,3329280,0.9278321
2704,3342080,0.946128
2715,3354880,0.94183207
2725,3367680,0.9006879
2736,3380480,0.917704
2746,3393280,0.93866396
2756,3406080,0.946088
2767,3418880,0.94741607
2777,3431680,0.934464
2788,3444480,0.946872
2798,3457280,0.9270401
2809,3470080,0.94284004
2819,3482880,0.9449761
2829,3495680,0.9416481
2840,3508480,0.945792
2850,3521280,0.94188005
2861,3534080,0.9389839
2871,3546880,0.94154394
2882,3559680,0.94305605
2892,3572480,0.9419841
2903,3585280,0.94322395
2913,3598080,0.9368561
2924,3610880,0.9412321
2934,3623680,0.94123185
2944,3636480,0.94261605
2954,3649280,0.9417441
2965,3662080,0.943464
2975,3674880,0.94232804
2986,3687680,0.9350079
2996,3700480,0.935632
3007,3713280,0.943288
3017,3726080,0.94168
3028,3738880,0.92844796
3038,3751680,0.9408641
3049,3764480,0.94373596
3059,3777280,0.91156805
3069,3790080,0.9362001
3080,3802880,0.923648
3090,3815680,0.92576003
3100,3828480,0.943208
3111,3841280,0.9234
3121,3854080,0.91556
3131,3866880,0.941552
3142,3879680,0.93191993
3152,3892480,0.945832
3163,3905280,0.91824794
3173,3918080,0.93456805
3184,3930880,0.94232005
3194,3943680,0.939488
3204,3956480,0.93507993
3215,3969280,0.94423205
3225,3982080,0.9392801
3235,3994880,0.936504
3246,4007680,0.932376
3256,4020480,0.946464
3267,4033280,0.939752
3277,4046080,0.943624
3288,4058880,0.94691205
3298,4071680,0.94163203
3308,4084480,0.9427439
3319,4097280,0.93676794
3329,4110080,0.927
3340,4122880,0.93524003
3350,4135680,0.94570404
3361,4148480,0.9376801
3371,4161280,0.940848
3381,4174080,0.93559206
3392,4186880,0.9407919
3402,4199680,0.9405039
3413,4212480,0.9388
3423,4225280,0.93540794
3434,4238080,0.945528
3444,4250880,0.94384
3454,4263680,0.926736
3464,4276480,0.905112
3475,4289280,0.92456794
3485,4302080,0.9445121
3496,4314880,0.92895204
3506,4327680,0.9245281
3516,4340480,0.9398
3527,4353280,0.934824
3537,4366080,0.943488
3547,4378880,0.943128
3558,4391680,0.95292795
3569,4404480,0.927536
3579,4417280,0.9455199
3589,4430080,0.94008005
3599,4442880,0.9199279
3610,4455680,0.93813604
3620,4468480,0.92972803
3631,4481280,0.94828814
3641,4494080,0.94401586
3652,4506880,0.94487214
3662,4519680,0.937392
3672,4532480,0.9404961
3683,4545280,0.91879195
3693,4558080,0.94382405
3703,4570880,0.942664
3714,4583680,0.94070405
3724,4596480,0.9399441
3734,4609280,0.9424401
3745,4622080,0.933272
3755,4634880,0.9467841
3766,4647680,0.943528
3776,4660480,0.9446081
3787,4673280,0.9464
3797,4686080,0.948088
3808,4698880,0.944432
3818,4711680,0.9486559
3828,4724480,0.938712
3839,4737280,0.936016
3849,4750080,0.94414407
3860,4762880,0.93815196
3870,4775680,0.94429606
3880,4788480,0.945088
3891,4801280,0.93416804
3901,4814080,0.92968005
3911,4826880,0.94396
3922,4839680,0.945472
3932,4852480,0.93208003
3943,4865280,0.93205607
3953,4878080,0.94337606
3963,4890880,0.94115186
3974,4903680,0.934424
3984,4916480,0.9426719
3994,4929280,0.9384401
4005,4942080,0.9436081
4015,4954880,0.92807996
4025,4967680,0.9424801
4036,4980480,0.940576
4046,4993280,0.9448079
