lr,max-grad-norm,recurrent-policy,seed
2.0896354137437783e-05,0.5,False,384

seconds,frames,mean reward
34,14080,0.073446155
45,26880,0.038256
56,39680,0.027936
67,52480,0.017472
77,65280,0.018687999
88,78080,0.009856
98,90880,0.018927999
108,103680,0.036576
119,116480,0.019224
130,129280,0.01984
140,142080,0.009848
151,154880,0.008536
161,167680,0.008536
172,180480,0.009872001
182,193280,0.029552
192,206080,0.029647999
203,218880,0.029104
213,231680,0.037024
223,244480,0.027023999
233,257280,0.037008
244,270080,0.027872
254,282880,0.029191999
264,295680,0.101752
275,308480,0.11093599
287,321280,0.112087995
297,334080,0.092328005
307,346880,0.100672
317,359680,0.173648
328,372480,0.24156
338,385280,0.295208
348,398080,0.32956
359,410880,0.380472
369,423680,0.348064
380,436480,0.41233605
391,449280,0.413544
401,462080,0.48213604
411,474880,0.50660807
423,487680,0.42764798
434,500480,0.43208802
444,513280,0.450976
455,526080,0.40956798
465,538880,0.377432
475,551680,0.399696
486,564480,0.44241607
496,577280,0.470352
506,590080,0.39703202
517,602880,0.439752
527,615680,0.51316804
538,628480,0.451768
548,641280,0.39189607
559,654080,0.368072
569,666880,0.392416
580,679680,0.499544
590,692480,0.46094394
600,705280,0.431824
611,718080,0.42743203
621,730880,0.374048
632,743680,0.38147202
642,756480,0.46069598
652,769280,0.459792
663,782080,0.45368797
673,794880,0.47350404
684,807680,0.384432
695,820480,0.337832
705,833280,0.40408802
740,846080,0.35788
750,858880,0.36448
761,871680,0.348992
772,884480,0.35439202
782,897280,0.34256
792,910080,0.417528
803,922880,0.42116803
813,935680,0.37394398
823,948480,0.423184
834,961280,0.43435204
844,974080,0.40650398
855,986880,0.45503196
865,999680,0.46316
876,1012480,0.41446397
886,1025280,0.4246
896,1038080,0.47434402
907,1050880,0.54176
918,1063680,0.40919998
928,1076480,0.35024804
939,1089280,0.45543998
949,1102080,0.43948796
960,1114880,0.47155204
970,1127680,0.418992
980,1140480,0.465952
991,1153280,0.47437602
1001,1166080,0.400544
1011,1178880,0.404272
1022,1191680,0.418576
1032,1204480,0.38971198
1042,1217280,0.400944
1053,1230080,0.41805595
1063,1242880,0.511488
1074,1255680,0.49678403
1084,1268480,0.43592805
1095,1281280,0.45735198
1105,1294080,0.45365602
1117,1306880,0.488184
1127,1319680,0.40962398
1138,1332480,0.447528
1148,1345280,0.48529598
1158,1358080,0.55876803
1169,1370880,0.51482403
1179,1383680,0.51238406
1190,1396480,0.543688
1200,1409280,0.533184
1211,1422080,0.57115996
1221,1434880,0.511216
1232,1447680,0.48171997
1242,1460480,0.557464
1252,1473280,0.57550395
1263,1486080,0.51796
1273,1498880,0.56775194
1284,1511680,0.59285605
1294,1524480,0.515264
1305,1537280,0.483824
1316,1550080,0.49760002
1327,1562880,0.46387997
1337,1575680,0.520848
1347,1588480,0.467704
1358,1601280,0.47239998
1368,1614080,0.564048
1378,1626880,0.503328
1389,1639680,0.51492006
1399,1652480,0.50893605
1410,1665280,0.50924003
1420,1678080,0.56559205
1431,1690880,0.49474403
1441,1703680,0.494
1452,1716480,0.60778403
1462,1729280,0.56672
1472,1742080,0.513616
1483,1754880,0.55979997
1493,1767680,0.6101441
1504,1780480,0.65143204
1515,1793280,0.54108804
1525,1806080,0.541968
1536,1818880,0.52832
1546,1831680,0.599792
1557,1844480,0.580328
1567,1857280,0.56014395
1578,1870080,0.52322394
1588,1882880,0.606112
1598,1895680,0.553128
1609,1908480,0.54264
1619,1921280,0.616168
1630,1934080,0.63985604
1640,1946880,0.62903196
1650,1959680,0.639744
1661,1972480,0.67632794
1671,1985280,0.61916804
1682,1998080,0.59976804
1693,2010880,0.59706396
1703,2023680,0.684832
1714,2036480,0.68884003
1724,2049280,0.70298404
1735,2062080,0.67041606
1745,2074880,0.70408803
1756,2087680,0.7312
1766,2100480,0.73687196
1777,2113280,0.729432
1788,2126080,0.75761604
1799,2138880,0.73472
1810,2151680,0.819048
1820,2164480,0.7945759
1831,2177280,0.77484804
1842,2190080,0.79428
1852,2202880,0.85766405
1864,2215680,0.883712
1875,2228480,0.83384794
1885,2241280,0.878536
1896,2254080,0.86636794
1907,2266880,0.7811281
1917,2279680,0.89576805
1928,2292480,0.851408
1939,2305280,0.886008
1951,2318080,0.88378406
1961,2330880,0.86024004
1972,2343680,0.893328
1983,2356480,0.863912
1994,2369280,0.86568797
2004,2382080,0.919456
2015,2394880,0.898432
2026,2407680,0.8897599
2037,2420480,0.9232319
2048,2433280,0.9093921
2058,2446080,0.90739995
2069,2458880,0.928496
2080,2471680,0.91339195
2091,2484480,0.894256
2101,2497280,0.8936961
2112,2510080,0.90019995
2124,2522880,0.9018
2135,2535680,0.925944
2146,2548480,0.934336
2157,2561280,0.925096
